Tarih: 12/22/2025 3:16:00 PM | Skor: 49
Tarih: 12/22/2025 3:21:15 PM | Skor: 238
Tarih: 12/22/2025 3:21:17 PM | Skor: 0
Tarih: 12/22/2025 3:21:27 PM | Skor: 115
Tarih: 12/22/2025 3:22:37 PM | Skor: 1862
Tarih: 12/22/2025 3:39:05 PM | Skor: 10
Tarih: 12/22/2025 3:43:29 PM | Skor: 8
Tarih: 12/22/2025 3:43:52 PM | Skor: 185
Tarih: 12/22/2025 3:48:21 PM | Skor: 36
Tarih: 12/22/2025 3:48:58 PM | Skor: 13
Tarih: 11.01.2026 21:30:29 | Skor: 99
Tarih: 11.01.2026 22:19:52 | Skor: 43
Tarih: 11.01.2026 22:20:07 | Skor: 184
Tarih: 11.01.2026 22:20:09 | Skor: 9
Tarih: 11.01.2026 22:20:10 | Skor: 8
Tarih: 11.01.2026 22:52:09 | Skor: 4
Tarih: 11.01.2026 22:55:37 | Skor: 25
Tarih: 11.01.2026 22:55:52 | Skor: 0
Tarih: 11.01.2026 22:55:52 | Skor: 0
Tarih: 12.01.2026 03:58:10 | Skor: 8
Tarih: 12.01.2026 03:58:30 | Skor: 35
Tarih: 12.01.2026 03:59:24 | Skor: 33
Tarih: 12.01.2026 03:59:26 | Skor: 1
Tarih: 12.01.2026 03:59:35 | Skor: 7
Tarih: 16.01.2026 06:32:54 | Skor: 10
Tarih: 16.01.2026 06:32:56 | Skor: 18
Tarih: 16.01.2026 06:32:58 | Skor: 11
Tarih: 16.01.2026 06:32:59 | Skor: 0
Tarih: 16.01.2026 06:33:00 | Skor: 4
